1024_mb_x_16384_kb,1024_mb_x_2048_kb,1024_mb_x_4096_kb,1024_mb_x_512_kb,1024_mb_x_8192_kb,128_mb_x_16384_kb,128_mb_x_2048_kb,128_mb_x_4096_kb,128_mb_x_512_kb,128_mb_x_8192_kb,2048_mb_x_16384_kb,2048_mb_x_2048_kb,2048_mb_x_4096_kb,2048_mb_x_512_kb,2048_mb_x_8192_kb,256_mb_x_16384_kb,256_mb_x_2048_kb,256_mb_x_4096_kb,256_mb_x_512_kb,256_mb_x_8192_kb,512_mb_x_16384_kb,512_mb_x_2048_kb,512_mb_x_4096_kb,512_mb_x_512_kb,512_mb_x_8192_kb,warm-1024,warm-128,warm-2048,warm-256,warm-512
53.4,55.1,59.2,57,56.7,124.3,150.5,105.9,127.6,110.5,49.6,68.6,50,81,72.9,60.5,44,57.3,34.5,52.6,69.3,41,60,33.4,45.4,129.75,44.9,116.55,65.6,
43.2,70.7,64,55.2,64.4,122.7,79.5,111.5,65.3,106.09,48.6,48.9,54.6,91.6,66,62.8,57.9,78.7,39.7,64.2,78,39.5,53.9,36.6,37.9,153,78.8,89,120.25,
40.1,67.8,75.7,50.5,76.2,141.4,35.1,43,124.1,101.31,49.5,65.4,14.8,100.4,73.4,72.5,75.1,61.7,49.6,54,86.6,45.5,53.5,36.2,55.1,114.2,71.85,102.8,90.85,
61.3,53.5,68.9,54,73.8,134.9,217.5,167,119.5,101.5,60.9,59.3,75.3,111.7,77.9,50,59.1,63.4,56.7,63.5,70,59.8,57.5,43.6,62.2,144.8,72.65,98.15,91.2,
62,51.3,62.5,55.9,78,162.3,126.8,96.2,134.7,110.2,80.6,77.8,56.5,124.6,75.5,61.1,57.8,61.5,51.3,64.2,60.6,45.5,67.8,47.1,62.5,90.95,113.55,88.7,170.15,
63.2,74.9,59.7,51.7,54.6,151.9,137.9,53.3,124,104,78.5,79.6,71,86.5,89,54.8,42.7,76.1,73.4,61.8,63.7,46.5,64.3,43,58,99.15,98.75,103.95,125.15,
61.6,64.3,73.9,68.2,53.3,212.4,55.6,162.9,80,107.8,75,93.1,73.6,145.8,62.3,68.9,55.2,68.3,60.4,73,72.4,39,64.3,37.5,50.2,87.35,89.45,93.35,164.25,
56.5,78.2,80.7,77.9,90.7,253.2,213.1,101.5,175.7,92,85,89.2,77.4,119.3,112.9,79.2,62.2,62.6,46.3,81.6,63.4,53.5,34.4,30.7,66.8,114.05,93.75,88.65,90.5,
61.08,71.8,71.1,72.4,99.3,245.6,56.6,185,75,97.3,50.8,60,83.6,119.3,124.9,68,68.1,88,54.9,80.6,56,58.9,62.7,44.9,69.1,129.8,78.15,93.65,54.75,
72.02,75.9,76.1,60.9,86.5,245.9,82.9,129.3,157.7,91.7,82.3,81.5,81.9,131.4,111.2,54.8,59.9,88.3,76.5,71.5,53.2,53.4,71.5,49.3,69,30.85,29,57.7,23.2,
